time_stamp,AD1,AD2,AD3,AD4,AD5,AD6,AD7,AD8,AD9,AD10,AD11,AD12,AD13,AD14,AD15,AD16
20241217_172840,0.01,0.51,0.01,2.01,5.01,8.898,7.787,2.232
20241217_172841,0.02,0.52,0.02,2.02,5.02,8.908,7.797,2.242
20241217_172841,0.03,0.53,0.03,2.03,5.03,8.918,7.807,2.252
20241217_172841,0.04,0.54,0.04,2.04,5.04,8.928,7.817,2.262
20241217_172841,0.05,0.55,0.05,2.05,5.05,8.938,7.827,2.272
20241217_172841,0.06,0.56,0.06,2.06,5.06,8.948,7.837,2.282
20241217_172842,0.07,0.57,0.07,2.07,5.07,8.958,7.847,2.292
20241217_172842,0.08,0.58,0.08,2.08,5.08,8.968,7.857,2.302
20241217_172842,0.09,0.59,0.09,2.09,5.09,8.978,7.867,2.312
20241217_172842,0.1,0.6,0.1,2.1,5.1,8.988,7.877,2.322
20241217_172842,0.11,0.61,0.11,2.11,5.11,8.998,7.887,2.332
20241217_172843,0.12,0.62,0.12,2.12,5.12,9.008,7.897,2.342
20241217_172843,0.13,0.63,0.13,2.13,5.13,9.018,7.907,2.352
20241217_172843,0.14,0.64,0.14,2.14,5.14,9.028,7.917,2.362
20241217_172843,0.15,0.65,0.15,2.15,5.15,9.038,7.927,2.372
20241217_172843,0.16,0.66,0.16,2.16,5.16,9.048,7.937,2.382
20241217_172844,0.17,0.67,0.17,2.17,5.17,9.058,7.947,2.392
20241217_172844,0.18,0.68,0.18,2.18,5.18,9.068,7.957,2.402
20241217_172844,0.19,0.69,0.19,2.19,5.19,9.078,7.967,2.412
20241217_172844,0.2,0.7,0.2,2.2,5.2,9.088,7.977,2.422
20241217_172844,0.21,0.71,0.21,2.21,5.21,9.098,7.987,2.432
20241217_172845,0.22,0.72,0.22,2.22,5.22,9.108,7.997,2.442
20241217_172845,0.23,0.73,0.23,2.23,5.23,9.118,8.007,2.452
20241217_172845,0.24,0.74,0.24,2.24,5.24,9.128,8.017,2.462
20241217_172845,0.25,0.75,0.25,2.25,5.25,9.138,8.027,2.472
20241217_172845,0.26,0.76,0.26,2.26,5.26,9.148,8.037,2.482
20241217_172846,0.27,0.77,0.27,2.27,5.27,9.158,8.047,2.492
20241217_172846,0.28,0.78,0.28,2.28,5.28,9.168,8.057,2.502
20241217_172846,0.29,0.79,0.29,2.29,5.29,9.178,8.067,2.512
20241217_172846,0.3,0.8,0.3,2.3,5.3,9.188,8.077,2.522
20241217_172846,0.31,0.81,0.31,2.31,5.31,9.198,8.087,2.532
20241217_172847,0.32,0.82,0.32,2.32,5.32,9.208,8.097,2.542
